accession_number,isXBRL,cost_of_goods_sold,operating_expenses,operating_income,earnings_per_share_basic,earnings_per_share_diluted,pretax_income,net_income,income_taxes,interest_expense,revenue,sga_expenses,accounts_payable,accounts_receivable,current_liabilities,noncurrent_liabilities,property_plant_and_equipment_net,assets,noncurrent_assets,current_assets,short_term_investments,long_term_debt,cash_and_cash_equivalents,liabilities,inventory,cash_end_of_period,depreciation_and_amortization,net_cash_from_financing_activities,net_cash_from_operating_activities,net_cash_from_investing_activities,capital_expenditures,stockholders_equity,goodwill,gross_profit,accumulated_other_comprehensive_income
0001188112-13-002611,1,CostOfGoodsSold,,OperatingIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,InterestExpense,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AllowanceForDoubtfulAccountsReceivableCurrent,TradingSecuritiesCurrent,OtherLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PropertyHeldForSaleNoncurrent,AssetsCurrent,TradingSecuritiesCurrent,LongTermLoansFromBank,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InventoryNet,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationAndAmortization,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,Goodwill,GrossProfit,
0001571049-14-004448,1,CostOfGoodsAndServicesSold,,OperatingIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,InterestExpense,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AllowanceForDoubtfulAccountsReceivableCurrent,LiabilitiesCurrent,OtherLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PropertyHeldForSaleNoncurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InventoryNet,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationAndAmortization,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,Goodwill,GrossProfit,
0001571049-15-007509,1,CostOfGoodsAndServicesSold,,OperatingIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,InterestExpense,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AllowanceForDoubtfulAccountsReceivableCurrent,LiabilitiesCurrent,OtherLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PropertyHeldForSaleNoncurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InventoryNet,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationAndAmortization,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,Goodwill,GrossProfit,
0001571049-16-017785,1,CostOfGoodsAndServicesSold,,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,InterestExpense,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AllowanceForDoubtfulAccountsReceivableCurrent,LiabilitiesCurrent,OtherLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PropertyHeldForSaleNoncurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InventoryNet,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationAndAmortization,PaymentsForConvertibleBondHedgeFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,Goodwill,GrossProfit,
0001144204-17-045100,1,CostOfGoodsAndServicesSold,,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,InterestExpense,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AllowanceForDoubtfulAccountsReceivableCurrent,LiabilitiesCurrent,OtherLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PropertyHeldForSaleNoncurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InventoryNet,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationAndAmortization,PaymentsForConvertibleBondHedgeFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,Goodwill,GrossProfit,
0001144204-18-051414,1,CostOfGoodsAndServicesSold,,OtherNonoperatingIncomeExpense,EarningsPerShareBasic,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,NonoperatingIncomeExpense,InterestExpense,RevenueFromContractWithCustomerExcludingAssessedTax,SellingGeneralAndAdministrativeExpense,AccountsPayableCurrent,AllowanceForDoubtfulAccountsReceivableCurrent,LiabilitiesCurrent,OtherLiabilitiesNoncurrent,PropertyPlantAndEquipmentNet,Assets,PropertyHeldForSaleNoncurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebtNoncurrent,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InventoryNet,PaymentsToAcquireBusinessesNetOfCashAcquired,DepreciationAndAmortization,PaymentsForConvertibleBondHedgeFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,Goodwill,GrossProfit,
0000002178-12-000010,1,,MarketingExpense,OperatingIncomeLoss,,EarningsPerShareDiluted,NetIncomeLoss,OperatingIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,Revenues,GeneralAndAdministrativeExpense,AccountsPayableRelatedPartiesCurrent,AllowanceForDoubtfulAccountsReceivableCurrent,LiabilitiesCurrent,LongTermDebt,TransportationPropertyAndEquipment,Assets,OtherAssetsNoncurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebt,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,InventoryNet,NetCashProvidedByUsedInOperatingActivities,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquity,,,
0000002178-13-000014,1,,CostsAndExpenses,OperatingIncomeLoss,,,NetIncomeLoss,OperatingIncomeLoss,IncomeTaxExpenseBenefitContinuingOperations,InterestExpense,Revenues,GeneralAndAdministrativeExpense,AccountsPayableRelatedPartiesCurrent,AllowanceForDoubtfulAccountsReceivableCurrent,LiabilitiesCurrent,LongTermDebt,TransportationPropertyAndEquipment,Assets,OtherAssetsNoncurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebt,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,EnergyRelatedInventory,OtherOperatingActivitiesCashFlowStatement,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivities,OtherOperatingActivitiesCashFlowStatement,NetCashProvidedByUsedInInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquity,,,
0000002178-14-000010,1,,CostsAndExpenses,OperatingIncomeLoss,,,NetIncomeLoss,OperatingIncomeLoss,IncomeTaxExpenseBenefitContinuingOperations,InterestExpense,Revenues,GeneralAndAdministrativeExpense,AccountsPayableRelatedPartiesCurrent,AllowanceForDoubtfulAccountsReceivableCurrent,LiabilitiesCurrent,LongTermDebt,TransportationPropertyAndEquipment,Assets,OtherAssetsNoncurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebt,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,EnergyRelatedInventory,OtherOperatingActivitiesCashFlowStatement,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivities,OtherOperatingActivitiesCashFlowStatement,NetCashProvidedByUsedInInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquity,,,
0000002178-15-000014,1,,CostsAndExpenses,OperatingIncomeLoss,,,NetIncomeLoss,OperatingIncomeLoss,IncomeTaxExpenseBenefit,InterestExpense,Revenues,GeneralAndAdministrativeExpense,AccountsPayableRelatedPartiesCurrent,AllowanceForDoubtfulAccountsReceivableCurrent,LiabilitiesCurrent,LongTermDebt,TransportationPropertyAndEquipment,Assets,OtherAssetsNoncurrent,AssetsCurrent,LiabilitiesCurrent,LongTermDebt,CashAndCashEquivalentsAtCarryingValue,StockholdersEquity,EnergyRelatedInventory,OtherOperatingActivitiesCashFlowStatement,DepreciationDepletionAndAmortization,NetCashProvidedByUsedInFinancingActivities,OtherOperatingActivitiesCashFlowStatement,NetCashProvidedByUsedInInvestingActivities,ProceedsFromSaleOfPropertyPlantAndEquipment,StockholdersEquity,,,
